Plant Name,url
October Glory Maple,https://docs.google.com/document/d/1m2d0frNDWidzP-SNvRjJ2G1xFAmckBztUrG6evMQScE/edit?tab=t.0
Dragon Tree Tricolor Dracaena,https://docs.google.com/document/d/1hiXUPFmI19rIUpQ5DHTvyLtbHuyvmupBbeIOQMrkP38/edit?tab=t.0#heading=h.mebrgrxr5i8y
Star Magnolia,https://docs.google.com/document/d/1I1JnJU9R0HenAzGUy2InkebTkJsIk1k-rDRSAtDoW7w/edit?tab=t.0#heading=h.d5ulpl54igvu
Calliope Dark Salmon,https://docs.google.com/document/d/149sxSGHiY2WSzpF-UPLDD2UM1FbmFvPvi3mR8aKz7JM/edit?tab=t.0#heading=h.2wgu4jpgelw
Vinca Cora,https://docs.google.com/document/d/1FcZorkbK2FvdtCaJLPuy1gLNBAFFn4Fql1MJY3fpWrs/edit?tab=t.0#heading=h.hcs5gqjiik5x
Sundown Orange Bougainvillea,https://docs.google.com/document/d/1HkqA-votjmtXrs5G_eZUUCERYO6ni4RzFBLymuOIEpE/edit?tab=t.0#heading=h.806xtl5g3jsf
Boston Ferns,https://docs.google.com/document/d/1zHBSyRm1oiWPjy3UTNryvvVxVtLdA_7odS86fAqP1Ak/edit?tab=t.0#heading=h.wxsau8g9fb0e
Parlor Palm,https://docs.google.com/document/d/1od9MECfHxZwLqk0YpCwMlfPFDBGRO_hnvkwOS9zLHGA/edit?tab=t.0#heading=h.5miwnbv1nwlm
Sansevieria Snake Plant,https://docs.google.com/document/d/1DrBTrpv3ZFyzbdcRYH4v--POSY2atvNlXDoY92mkZ98/edit?tab=t.0#heading=h.lgidxven690d
Chinese Evergreen,https://docs.google.com/document/d/1TTvEofX93dq9vlbIRPv7KYY0uAohL2tQ4Csvi0SO5zI/edit?tab=t.0#heading=h.gouepe4w9rhq
